id_produk,nama_produk,review,id_user,nama_akun,rating_user,ulasan_produk,waktu_review,varian_produk
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,28,UI0094,GunM,5,none,Lebih dari 1 tahun lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,29,UI0095,Vadia,5,"barang diprosesnya cepat banget. begitu sampe langsung nyobain, scroll volumenya sempet ga berfungsi ternyata cuma perlu unplug usbnya aja hehe. mantap betulll",Lebih dari 1 tahun lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,30,UI0096,Yohanes,5,Pengennya warna item tapi abis.. putih jg keren sih. Mantap,Lebih dari 1 tahun lalu,Varian: Hitam
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,31,UI0097,anton,5,barang bagus oke banget,Lebih dari 1 tahun lalu,none
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,32,UI0098,ahmad,5,barang sesuai deskripsi,Lebih dari 1 tahun lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,33,UI0099,didimus,5,"Recommended seller, barang bagus, sesuai pesanan dan ga kurang auatu apapun",Lebih dari 1 tahun lalu,Varian: Putih
PI0105,Logitech G733 Lightspeed - Wireless Gaming Headset - Hitam,34,UI0100,j***n,5,none,Lebih dari 1 tahun lalu,Varian: Putih
PI0106,Rexus Mousepad Daxa Jacquard - MJ01,1,UI0053,M***d,5,"Bagus, semoga awet!",1 minggu lalu,Varian: MJ01
PI0106,Rexus Mousepad Daxa Jacquard - MJ01,2,UI0101,T***h,5,"Satset satset licin keset, minimalist keren",1 minggu lalu,Varian: MJ03
PI0106,Rexus Mousepad Daxa Jacquard - MJ01,3,UI0102,Mark,4,"sejauh ini, cukup puas dengan produk nya, cuma agak ga nempel aja dengan meja (masih licin), meja saya ikea melltorp",3 minggu lalu,Varian: MJ01
